"name","Population","latitude","longitude"
"Sydney",4277200,-33.87,151.21
"Melbourne",3666000,-37.81,144.96
"Brisbane",1598600,-27.46,153.02
"Perth",1412900,-31.96,115.84
"Adelaide",1089700,-34.93,138.6
"Newcastle",502300,-32.92,151.75
"Gold coast",457900,-28.07,153.44
"Canberra",323100,-35.31,149.13
"Wollongong",262500,-34.42,150.87
"Sunshine coast",254700,-25.88,152.56
"Hobart",201000,-42.85,147.29
"Geelong",161500,-38.14,144.32
"Townsville",152400,-19.26,146.78
"Cairns",128500,-16.92,145.75
"Launceston",99400,-41.45,147.13
"Albury-wodonga",97300,-36.06,146.92
"Darwin",95000,-12.43,130.85
"Toowoomba",91800,-27.56,151.96
"Ballarat",85300,-37.56,143.84
"Shoalhaven",81600,-34.88,150.59
"Bendigo",80400,-36.76,144.28
"Burnie-devonport",78400,-41.06,145.89
"Bathurst-orange",76600,-33.42,149.57
"Mackay",72700,-21.14,149.18
"Hastings",68000,-38.31,145.19
"Rockhampton",66100,-23.37,150.51
"Coffs harbour",62600,-30.3,153.12
"Bundaberg",60300,-24.87,152.35
"Wagga wagga",56400,-35.12,147.35
"Mildura",46900,-34.19,142.16
"Shepparton-mooroopna",45300,-36.37,145.4
"Maroochydore-mooloolaba",45100,-26.68,153.12
"Taree",44900,-31.9,152.47
"Lismore",43200,-28.81,153.29
"Gladstone",42900,-23.85,151.25
"Mandurah",40800,-32.53,115.75
"Hervey bay",39700,-25.29,152.84
"Dubbo",39100,-32.25,148.6
"Tamworth",36700,-31.1,150.92
"Port macquarie",35900,-31.44,152.91
"Kalgoorlie-boulder",35600,-30.74,121.46
"Caloundra",35100,-26.81,153.13
"Melton",33500,-37.69,144.57
"Tewantin-noosa",32300,-26.39,153.03
"Warrnambool",28800,-38.38,142.47
"Geraldton",28700,-28.77,114.59
"Bunbury",28300,-33.35,115.65
"Cranbourne",27400,-38.11,145.27
"Mount isa",27000,-20.73,139.48
"Maryborough",26400,-25.54,152.72
"Alice springs",25500,-23.7,133.87
"Palmerston",24700,-12.4,130.9
"Sunbury",24500,-37.57,144.71
"Whyalla",24400,-33.03,137.57
"Queanbeyan",23800,-35.35,149.22
"Albany",23300,-35.02,117.88
"Mount gambier",23000,-37.84,140.77
"Armidale",22700,-30.51,151.66
"Richmond-windsor",22700,-33.6,150.74
"Goulburn",22600,-34.75,149.71
"Broken hill",22300,-31.95,141.44
"Caboolture",21800,-27.09,152.95
"Roebourne",21200,-20.77,117.13
"Traralgon",21000,-38.2,146.53
"Kawana waters",20200,-26.76,153.13
"Katoomba-wentworth falls",18800,-33.71,150.32
"Cessnock",18700,-32.83,151.36
"Cairns northern beaches",18300,-16.84,145.7
"Nerang",17900,-27.99,153.33
"Kwinana",17800,-32.25,115.77
"Grafton",17600,-29.71,152.94
"Wangaratta",17200,-36.36,146.3
"Ballina",17100,-28.86,153.56
"Helensvale",17100,-15.71,145.23
"Moe-yallourn",17100,-38.18,146.25
"Forster-tuncurry",17000,-32.19,152.52
"Deception bay",16300,-27.2,153.02
"Gawler",16100,-34.61,138.73
"Buderim",15400,-26.68,153.05
"Morwell",15300,-38.23,146.4
"Griffith",15100,-34.29,146.04
"Nambour",15100,-26.63,152.97
"Sale",14800,-38.11,147.06
"Port hedland",14600,-20.31,118.6
"Crafers-bridgewater",14500,-35,138.7
"Kingston-blackmans bay",14500,-42.99,147.31
"Port augusta",14500,-32.49,137.77
"Craigieburn",14300,-37.6,144.93
"Port pirie",14200,-33.19,137.98
"Sawtell",14100,-30.37,153.09
"Horsham",13900,-36.71,142.19
"Bongaree",13800,-27.09,153.16
"Echuca-moama",13800,-36.13,144.75
"Warwick",13600,-28.22,152.03
"Gympie",13400,-26.19,152.67
"Kurri kurri",13400,-32.82,151.46
"Murray bridge",13400,-35.13,139.26
"Singleton",13300,-32.57,151.16
"Raymond terrace",13100,-32.8,151.84
"Broome",12900,-17.96,122.23
"Baccus marsh",12500,-37.67,144.43
"Kiama",12500,-34.71,150.84
"Ocean grove-barwon heads",12500,-38.25,144.52
"Lithgow",12200,-33.49,150.14
"Port lincoln",12200,-34.72,135.85
"Busselton",12100,-33.66,115.35
"Victoria point",12100,-27.58,153.3
"Bairnsdale",12000,-37.83,147.61
"Dalby",11800,-27.19,151.26
"Emerald",11600,-23.52,148.16
"Karratha",11400,-20.73,116.87
"Muswellbrook",11200,-32.27,150.89
"Bowen",11100,-20,148.21
"Innisfail",11100,-17.53,146.03
"Charters towers",11000,-20.08,146.25
"Yeppoon",10900,-23.13,150.74
"Ayr",10800,-19.57,147.4
"Colac",10800,-38.34,143.58
"Parkes",10700,-33.13,148.17
"Portland",10700,-38.34,141.59
"Casino",10600,-28.87,153.04
"Pakenham",10500,-38.06,145.4
"Morayfield",10400,-27.11,152.95
"Swan hill",10400,-35.34,143.54
"Ulverstone",10400,-41.16,146.16
"Batemans bay",10200,-35.7,150.19
"Hamilton",10200,-37.73,142.02
"Lawson-hazelbrook",10200,-33.72,150.43
"Inverell",10000,-29.77,151.11
"Katherine",10000,-14.47,132.26
"Warragul",10000,-38.16,145.93
"Moree",9900,-29.47,149.84
"Esperance",9800,-33.86,121.89
"Benalla",9500,-36.55,145.97
"Bowral",9300,-34.5,150.4
"Kempsey",9200,-31.08,152.83
"Cowra",9100,-33.83,148.68
"Ulladulla",8900,-35.35,150.47
"Gunnedah",8800,-30.98,150.26
"Coolum beach",8700,-26.5,153.07
"Kingaroy",8700,-26.54,151.84
"Mudgee",8700,-32.59,149.58
"Wangi-rathmines",8600,-33.03,151.6
"Mareeba",8500,-16.98,145.42
"Burpengary",8400,-27.17,152.95
"Deniliquin",8300,-35.53,144.95
"Collie",8200,-33.36,116.15
"Maryborough",8200,-37.05,143.73
"Mount barker",8200,-35.07,138.84
"Lara",8100,-38.03,144.41
"Moranbah",8100,-22,148.04
"Murwillumbah",8100,-28.33,153.4
"Bridgewater-gagebrook",7900,-42.74,147.22
"Forbes",7900,-33.39,148
"Victor harbor",7700,-35.55,138.62
"Ararat",7600,-37.28,142.93
"Cooma",7600,-36.24,149.12
"Somerville",7600,,
"Castlemaine",7400,-37.07,144.21
"Nelson bay",7400,-32.72,152.15
"Blackwater",7300,-23.58,148.88
"Clifton springs",7300,-38.15,144.57
"Carnarvon",7200,-24.89,113.64
"Northam",7200,-31.66,116.66
"Young",7200,-34.31,148.29
"Atherton",7100,-17.26,145.47
"Roma",7100,-26.57,148.78
"Healesville",7000,-37.66,145.52
"Leeton",7000,-34.55,146.4
"Somerville",7000,-38.22,145.17
"Stawell",6900,-37.06,142.76
"Crib point",6800,-38.38,145.02
"Narrabri",6800,-30.33,149.78
"Nambucca heads",6700,-30.6,152.98
"Gatton",6600,-27.56,152.28
"Torquay",6600,-25.28,152.87
"Australind",6500,-33.31,115.7
"Byron bay",6500,-28.66,153.61
"Glenn innes",6500,-29.74,151.74
"Mittagong",6500,-34.45,150.43
"Moss vale",6500,-34.55,150.37
"Wonthaggi",6500,-38.61,145.59
"Biloela",6400,-24.4,150.51
"Cootamundra",6300,-34.65,148.01
"Kyabram",6300,-36.32,145.05
"Tumut",6300,-35.31,148.22
"Camden haven",6200,-34.07,150.7
"Corowa-wahgunyah",6200,-36,146.38
